CS Electives 

Course code ; Course Name ; Credit Hours
C S 4013    ; Artificial Intelligence                       ; 3
C S 4023    ; Introduction to Intelligent Robotics         ; 3
C S 4033    ; Machine Learning Fundamentals                ; 3
C S 4053    ; Computer Graphics                             ; 3
C S 4063    ; Human Computer Interaction                    ; 3
C S 4113    ; Distributed Operating Systems                 ; 3
C S 4133    ; Data Networks                                ; 3
C S 4323    ; Compiler Construction                         ; 3
C S 4433    ; Computational Methods in Discrete Optimization ; 3
C S 4613    ; Computer Architecture                         ; 3
C S 4743    ; Scientific Computing I                       ; 3
C S 4823    ; Cryptography                                 ; 3
C S 4973    ; Special Topics                               ; 3
